domain,company,keyword,sector,description,score
fido-carrier-mobile.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-client.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-clients.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-clients.online,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-clientsupport.online,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-communication.online,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido.digital,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-digital.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-easylogin.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-e-transfer.info,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-e-transfer-secure.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-infobilling.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-info-personnel.online,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-informationbilling.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-login.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-login.eu,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-manage-account.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido--mobile01.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-mobile-account.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-mobile-carrier.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-mobile.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-mobile.co.uk,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-mobile.net,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-mobile.online,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-mobile.org,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-mobiles.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-mobiles.net,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-mobiles.online,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-mobiles.org,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-mobile-support.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-mobile-web.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-mobile.xyz,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-mobilityaccount-5g.net,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-mobilityservices-overview.net,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-myaccount.app,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-myaccountapp.ltd,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-myaccount.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-myaccountovercharge2019.info,Fido,fido,telecom,"Phishing site impersonating Fido",90
fido-myservice.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-notice.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-onelogin.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido.online,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-online.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-online.de,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-onlinefunds.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-onlinemarketplace.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-online.net,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-online.org,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-onlinesupport.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-online-web1.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-payment.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-payments.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-petservice.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-portal.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-portalinc.org,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-rebate-icc.site,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-rebate-return.site,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-refund.online,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-refundsecure75.info,Fido,fido,telecom,"Phishing site impersonating Fido",90
fido-refundservice.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-secure1.online,Fido,fido,telecom,"Phishing site impersonating Fido",90
fido-secure.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-secured.live,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-secured.online,Fido,fido,telecom,"Phishing site impersonating Fido",90
fido-secureintl-ca.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-secure.online,Fido,fido,telecom,"Phishing site impersonating Fido",90
fido-secure-refund75.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-security-center.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-security.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-servicedesk.ca,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-servicedesk.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-servicedesk.net,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-servicedesk.org,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-service-mobilepay.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-service-overview.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido.services,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-services.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-servicesnotice.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-servicesolcom.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-servicesrefunds.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-site1.online,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-solservices.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fidosolution-annualbilling.site,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
fido-solution-notice.net,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-solutions.online,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-solutions-overdue-forward.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-solutions-overdue-forward.site,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-solutions-overdue-redirect.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-solutions-overdue-redirect.site,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-solutions-overdue-refund.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-solutions-support.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido.support,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-support.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-support.icu,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-support.info,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-supportmobile.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-support-mobility.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-supportmobility.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-support.net,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-support.org,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-svdbilling09.info,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-svdbilling10.info,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-svdbilling11.info,Fido,fido,telecom,"Phishing site impersonating Fido",70
fido-svdbilling49.info,Fido,fido,telecom,"Phishing site impersonating Fido",70
fidoteam-verificationdepartement.info,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
fido-update.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-updatepayment.info,Fido,fido,telecom,"Phishing site impersonating Fido",90
fido-updates.online,Fido,fido,telecom,"Phishing site impersonating Fido",90
fido-updates.top,Fido,fido,telecom,"Phishing site impersonating Fido",90
fido-verification1.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-verification.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-verifications.live,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-verifications.net,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-verify-account.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-verify-refund.com,Fido,fido,telecom,"Phishing site impersonating Fido",60
fido-webpage.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido.website,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-wireless-mobile.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fido-wirelessrefundclient65.com,Fido,fido,telecom,"Phishing site impersonating Fido",40
fidowireless-supportcarrier.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
fizz-90s.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz",70
fizz-buzz.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz",70
fizz.digital,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40
fizz-digital.co.uk,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40
fizz-mine.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz",70
fizz-mobile.com,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40
fizz.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz",70
fizz-referral-code-reference.info,Fizz,fizz,telecom,"Phishing site impersonating Fizz",70
fizz.services,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40
fizzslots-casino-online.ru,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
fizz-slots-official-casino.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz",70
fizzslots-official-casino.online,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
fizz-system.website,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40
fizz-web.com,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40
freedommobile-account.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",60
freedommobile-cashbackonline.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
freedommobile-clientcare.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
freedommobile-credit.info,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
freedommobile-credit.ru,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
freedommobile-deposit-funds.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
freedommobile-gift.info,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
freedommobile-giftpay.info,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
freedommobile-lnterac-payment.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",60
freedommobile-login.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",60
freedommobile-myaccount.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",60
freedommobile-myaccounts.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",60
freedommobile-onelogin.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",60
freedommobile.online,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
freedommobile-onlinecashback101.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
freedommobile-onlinecashback.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
freedommobile-onlinecashbackdata.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
freedommobile-onlinereturn94.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
freedommobile-onlinereturn.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
freedommobile-refundonline.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
freedommobile-secure.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",60
freedommobile.support,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
freedommobile-support.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
freedommobile-web.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
hydroone-astrahan.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-belgorod.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-bryansk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-chelyabinsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-dagestan.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-ekaterinburg.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-irkutsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-ivanovo.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-izhevsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-kaluga.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-kazan.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-kemerovo.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-kirov.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-krasnodar.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-kursk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-lipetsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-msk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-nino.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-novosibirsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-omsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-orel.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-orenburg.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-payments.com,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",60
hydroone-penza.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-perm.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-pskov.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-rates.online,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",70
hydroone-rostov.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-ryazan.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-samara.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-saransk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-saratov.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-smolensk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-spb.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-support.com,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-tambov.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-tula.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-tumen.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-tver.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-ufa.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-ulyanovsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-vladimir.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-vnovgorog.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-volgograd.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-vologda.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-voronezh.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroone-yaroslavl.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40
hydroqc.online,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",70
hydroquebec-aideservice.com,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec",40
hydroquebec-client.com,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec",40
hydroquebec-client.info,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec",70
hydroquebec.online,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec",70
hydroquebec-online.com,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec",40
hydroquebec.services,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec",40
hydroquebec-updates.online,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec",90
hydroquebec.website,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec",40
koodo-mobile.ca,Koodo,koodo,telecom,"Phishing site impersonating Koodo",40
koodo-mobile.club,Koodo,koodo,telecom,"Phishing site impersonating Koodo",70
koodo-mobile.com,Koodo,koodo,telecom,"Phishing site impersonating Koodo",40
koodo-mobile-support.com,Koodo,koodo,telecom,"Phishing site impersonating Koodo",40
koodo.online,Koodo,koodo,telecom,"Phishing site impersonating Koodo",70
koodo-online.com,Koodo,koodo,telecom,"Phishing site impersonating Koodo",40
koodo-telussupportcenter.com,Koodo,koodo,telecom,"Phishing site impersonating Koodo",40
koodo.website,Koodo,koodo,telecom,"Phishing site impersonating Koodo",40
manitobahydro.online,Manitoba Hydro,manitobahydro,energy,"Phishing site impersonating Manitoba Hydro",70
manitobahydro-payment.com,Manitoba Hydro,manitobahydro,energy,"Phishing site impersonating Manitoba Hydro",60
maritimeelectric.online,Maritime Electric,maritimeelectric,energy,"Phishing site impersonating Maritime Electric",70
notice-videotron.com,Videotron,videotron,telecom,"Phishing site impersonating Videotron",40
novascotiapower-alert.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
ntpc-career.online,Northwest Territories Power Corporation,ntpc,energy,"Phishing site impersonating Northwest Territories Power Corporation",70
ntpc.online,Northwest Territories Power Corporation,ntpc,energy,"Phishing site impersonating Northwest Territories Power Corporation",70
ntpc.website,Northwest Territories Power Corporation,ntpc,energy,"Phishing site impersonating Northwest Territories Power Corporation",40
phonebox-mobiles.com,PhoneBox Canada,phonebox,telecom,"Phishing site impersonating PhoneBox Canada",40
phonebox-mobiles.net,PhoneBox Canada,phonebox,telecom,"Phishing site impersonating PhoneBox Canada",40
phonebox.online,PhoneBox Canada,phonebox,telecom,"Phishing site impersonating PhoneBox Canada",70
phonebox-service.de,PhoneBox Canada,phonebox,telecom,"Phishing site impersonating PhoneBox Canada",40
rogers-1account-bill.com,Rogers Communications,rogers,telecom,"Phishing site impersonating Rogers Communications",60
rogers1-devicesteamapp-mobile.net,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40
rogers-1login-account.com,Rogers Communications,rogers,telecom,"Phishing site impersonating Rogers Communications",60
