domain,company,keyword,sector,description,score,risk
fido-clients.online,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-clientsupport.online,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-communication.online,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido.digital,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-digital.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-easylogin.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-e-transfer.info,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fido-e-transfer-secure.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-infobilling.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-info-personnel.online,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-informationbilling.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-login.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-login.eu,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-manage-account.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido--mobile01.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-mobile-account.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-mobile-carrier.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-mobile.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-mobile.co.uk,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-mobile.net,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-mobile.online,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-mobile.org,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-mobiles.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-mobiles.net,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-mobiles.online,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-mobiles.org,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-mobile-support.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-mobile-web.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-mobile.xyz,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fido-mobilityaccount-5g.net,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-mobilityservices-overview.net,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-myaccount.app,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-myaccountapp.ltd,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-myaccount.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-myaccountovercharge2019.info,Fido,fido,telecom,"Phishing site impersonating Fido",80,high
fido-myservice.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-notice.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-onelogin.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido.online,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-online.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-online.de,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-onlinefunds.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-onlinemarketplace.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-online.net,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-online.org,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-onlinesupport.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-online-web1.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-payment.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-payments.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-petservice.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-portal.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-portalinc.org,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-rebate-icc.site,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-rebate-return.site,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-refund.online,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-refundsecure75.info,Fido,fido,telecom,"Phishing site impersonating Fido",80,high
fido-refundservice.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-secure1.online,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-secure.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-secured.live,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-secured.online,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-secureintl-ca.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-secure.online,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-secure-refund75.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-security-center.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-security.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-servicedesk.ca,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-servicedesk.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-servicedesk.net,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-servicedesk.org,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-service-mobilepay.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-service-overview.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido.services,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-services.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-servicesnotice.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-servicesolcom.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-servicesrefunds.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-site1.online,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-solservices.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fidosolution-annualbilling.site,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-solution-notice.net,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-solutions.online,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-solutions-overdue-forward.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-solutions-overdue-forward.site,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-solutions-overdue-redirect.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-solutions-overdue-redirect.site,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-solutions-overdue-refund.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-solutions-support.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido.support,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-support.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-support.icu,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-support.info,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fido-supportmobile.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-support-mobility.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-supportmobility.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-support.net,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-support.org,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-svdbilling09.info,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fido-svdbilling10.info,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fido-svdbilling11.info,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fido-svdbilling49.info,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fidoteam-verificationdepartement.info,Fido,fido,telecom,"Phishing site impersonating Fido",65,high
fido-update.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-updatepayment.info,Fido,fido,telecom,"Phishing site impersonating Fido",80,high
fido-updates.online,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-updates.top,Fido,fido,telecom,"Phishing site impersonating Fido",80,high
fido-verification1.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-verification.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-verifications.live,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-verifications.net,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-verify-account.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-verify-refund.com,Fido,fido,telecom,"Phishing site impersonating Fido",55,medium
fido-webpage.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido.website,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-wireless-mobile.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fido-wirelessrefundclient65.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fidowireless-supportcarrier.com,Fido,fido,telecom,"Phishing site impersonating Fido",40,medium
fizz-90s.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40,medium
fizz-buzz.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40,medium
fizz.digital,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40,medium
fizz-digital.co.uk,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40,medium
fizz-mine.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40,medium
fizz-mobile.com,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40,medium
fizz.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40,medium
fizz-referral-code-reference.info,Fizz,fizz,telecom,"Phishing site impersonating Fizz",65,high
fizz.services,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40,medium
fizzslots-casino-online.ru,Fizz,fizz,telecom,"Phishing site impersonating Fizz",65,high
fizz-slots-official-casino.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40,medium
fizzslots-official-casino.online,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40,medium
fizz-system.website,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40,medium
fizz-web.com,Fizz,fizz,telecom,"Phishing site impersonating Fizz",40,medium
freedommobile-account.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",55,medium
freedommobile-cashbackonline.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",40,medium
freedommobile-clientcare.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",40,medium
freedommobile-credit.info,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",65,high
freedommobile-credit.ru,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",65,high
freedommobile-deposit-funds.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",40,medium
freedommobile-gift.info,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",65,high
freedommobile-giftpay.info,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",65,high
freedommobile-lnterac-payment.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",40,medium
freedommobile-login.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",55,medium
freedommobile-myaccount.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",55,medium
freedommobile-myaccounts.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",55,medium
freedommobile-onelogin.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",55,medium
freedommobile.online,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",40,medium
freedommobile-onlinecashback101.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",40,medium
freedommobile-onlinecashback.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",40,medium
freedommobile-onlinecashbackdata.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",40,medium
freedommobile-onlinereturn94.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",40,medium
freedommobile-onlinereturn.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",40,medium
freedommobile-refundonline.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",40,medium
freedommobile-secure.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",55,medium
freedommobile.support,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",40,medium
freedommobile-support.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",40,medium
freedommobile-web.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",40,medium
hydroone-astrahan.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-belgorod.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-bryansk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-chelyabinsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-dagestan.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-ekaterinburg.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-irkutsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-ivanovo.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-izhevsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-kaluga.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-kazan.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-kemerovo.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-kirov.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-krasnodar.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-kursk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-lipetsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-msk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-nino.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-novosibirsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-omsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-orel.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-orenburg.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-payments.com,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40,medium
hydroone-penza.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-perm.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-pskov.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-rates.online,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40,medium
hydroone-rostov.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-ryazan.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-samara.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-saransk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-saratov.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-smolensk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-spb.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-support.com,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",40,medium
hydroone-tambov.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-tula.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-tumen.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-tver.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-ufa.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-ulyanovsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-vladimir.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-vnovgorog.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-volgograd.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-vologda.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-voronezh.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroone-yaroslavl.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One",65,high
hydroqc.online,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)",40,medium
hydroquebec-aideservice.com,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec",40,medium
hydroquebec-client.com,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec",40,medium
hydroquebec-client.info,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec",65,high
hydroquebec.online,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec",40,medium
hydroquebec-online.com,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec",40,medium
hydroquebec.services,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec",40,medium
hydroquebec-updates.online,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec",55,medium
hydroquebec.website,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec",40,medium
koodo-mobile.ca,Koodo,koodo,telecom,"Phishing site impersonating Koodo",40,medium
koodo-mobile.club,Koodo,koodo,telecom,"Phishing site impersonating Koodo",40,medium
koodo-mobile.com,Koodo,koodo,telecom,"Phishing site impersonating Koodo",40,medium
