domain,company,keyword,sector,description
freedommobile-onlinecashback.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-onlinecashbackdata.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-onlinereturn94.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-onlinereturn.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-refundonline.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-secure.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile.support,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-support.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
freedommobile-web.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile"
hydroone-astrahan.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-belgorod.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-bryansk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-chelyabinsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-dagestan.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-ekaterinburg.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-irkutsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-ivanovo.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-izhevsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-kaluga.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-kazan.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-kemerovo.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-kirov.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-krasnodar.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-kursk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-lipetsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-msk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-nino.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-novosibirsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-omsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-orel.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-orenburg.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-payments.com,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-penza.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-perm.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-pskov.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-rates.online,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-rostov.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-ryazan.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-samara.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-saransk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-saratov.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-smolensk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-spb.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-support.com,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-tambov.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-tula.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-tumen.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-tver.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-ufa.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-ulyanovsk.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-vladimir.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-vnovgorog.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-volgograd.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-vologda.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-voronezh.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroone-yaroslavl.ru,Hydro One,hydroone,energy,"Phishing site impersonating Hydro One"
hydroqc.online,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)"
hydroquebec-aideservice.com,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec"
hydroquebec-client.com,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec"
hydroquebec-client.info,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec"
hydroquebec.online,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec"
hydroquebec-online.com,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec"
hydroquebec.services,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec"
hydroquebec-updates.online,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec"
hydroquebec.website,Hydro-Québec,hydroquebec,energy,"Phishing site impersonating Hydro-Québec"
koodo-mobile.ca,Koodo,koodo,telecom,"Phishing site impersonating Koodo"
koodo-mobile.club,Koodo,koodo,telecom,"Phishing site impersonating Koodo"
koodo-mobile.com,Koodo,koodo,telecom,"Phishing site impersonating Koodo"
koodo-mobile-support.com,Koodo,koodo,telecom,"Phishing site impersonating Koodo"
koodo.online,Koodo,koodo,telecom,"Phishing site impersonating Koodo"
koodo-online.com,Koodo,koodo,telecom,"Phishing site impersonating Koodo"
koodo-telussupportcenter.com,Koodo,koodo,telecom,"Phishing site impersonating Koodo"
koodo.website,Koodo,koodo,telecom,"Phishing site impersonating Koodo"
manitobahydro.online,Manitoba Hydro,manitobahydro,energy,"Phishing site impersonating Manitoba Hydro"
manitobahydro-payment.com,Manitoba Hydro,manitobahydro,energy,"Phishing site impersonating Manitoba Hydro"
maritimeelectric.online,Maritime Electric,maritimeelectric,energy,"Phishing site impersonating Maritime Electric"
notice-videotron.com,Videotron,videotron,telecom,"Phishing site impersonating Videotron"
novascotiapower-alert.com,Unknown Utility,unknown,unknown,"Phishing site (utility, unknown target)"
ntpc-career.online,Northwest Territories Power Corporation,ntpc,energy,"Phishing site impersonating Northwest Territories Power Corporation"
ntpc.online,Northwest Territories Power Corporation,ntpc,energy,"Phishing site impersonating Northwest Territories Power Corporation"
ntpc.website,Northwest Territories Power Corporation,ntpc,energy,"Phishing site impersonating Northwest Territories Power Corporation"
phonebox-mobiles.com,PhoneBox Canada,phonebox,telecom,"Phishing site impersonating PhoneBox Canada"
phonebox-mobiles.net,PhoneBox Canada,phonebox,telecom,"Phishing site impersonating PhoneBox Canada"
phonebox.online,PhoneBox Canada,phonebox,telecom,"Phishing site impersonating PhoneBox Canada"
phonebox-service.de,PhoneBox Canada,phonebox,telecom,"Phishing site impersonating PhoneBox Canada"
rogers-1account-bill.com,Rogers Communications,rogers,telecom,"Phishing site impersonating Rogers Communications"
rogers1-devicesteamapp-mobile.net,Rogers Communications,rogers,telecom,"Phishing site impersonating Rogers Communications"
rogers-1login-account.com,Rogers Communications,rogers,telecom,"Phishing site impersonating Rogers Communications"
rogers-1-login.com,Rogers Communications,rogers,telecom,"Phishing site impersonating Rogers Communications"
rogers-1mobile-account.com,Rogers Communications,rogers,telecom,"Phishing site impersonating Rogers Communications"
rogers-1mobile-bill.com,Rogers Communications,rogers,telecom,"Phishing site impersonating Rogers Communications"
rogers-1mobile-simappeal.net,Rogers Communications,rogers,telecom,"Phishing site impersonating Rogers Communications"
rogers1-wireless5g-services-ca.net,Rogers Communications,rogers,telecom,"Phishing site impersonating Rogers Communications"
