id,nca_id,nca_name,nca_jurisdiction,nca_registration_date,nca_url,commercial_name,other_commercial_names,corporate_names,url,other_urls,domain_name,fqdn,ip_address_v4,ip_address_v6,email,lei,categories,categories_detailed,products,products_detailed,social_media,social_media_detailed,regulator_claims,additional_information,validation_date,modification_date
41418,77,Autorite des marches financiers,Quebec,2025-10-02,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/boostyflow,BoostyFlow,,,https://boostyflow.net,,"boostyflow.net, boostyflow.com",,104.21.27.78,,support@boostyflow.net,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,"BoostyFlow is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.
Last known city: Grand-Lancy, Switzerland.",2025-10-03,2025-10-03
41417,77,Autorite des marches financiers,Quebec,2025-10-02,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/unismartmove,UniSmartMove,,,https://unismartmove.com,,unismartmove.com,,104.21.38.142,,support@unismartmove.com,,1,Unregistered/Unlicensed entity offering financial products or services,"5,6,7","Derivatives (options, futures, binary options, CFDs, forex, swaps, etc.)|Crypto and Digital Assets|Other",,,,"UniSmartMove is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.
Last known city: Geneva, Switzerland.",2025-10-03,2025-10-03
41416,77,Autorite des marches financiers,Quebec,2025-10-02,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/twentyonevc,Twentyonevc,21vc|21venturecapital.com,,https://www.twentyonevc.com,https://21venturecapital.com,"twentyonevc.com, 21venturecapital.com",,104.21.10.158,,"legal@twentyonevc.email,support@twentyonevc.email",,1,Unregistered/Unlicensed entity offering financial products or services,"5,6","Derivatives (options, futures, binary options, CFDs, forex, swaps, etc.)|Crypto and Digital Assets",,,,Twentyonevc.com is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.,2025-10-03,2025-10-03
41414,77,Autorite des marches financiers,Quebec,2025-10-02,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/blueonyx-trade,BlueOnyx Trade,,,https://blueonyxtradeltd.com,,blueonyxtradeltd.com,,104.21.77.127,,,,1,Unregistered/Unlicensed entity offering financial products or services,"5,6,7","Derivatives (options, futures, binary options, CFDs, forex, swaps, etc.)|Crypto and Digital Assets|Other",,,,BlueOnyx Trade is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.,2025-10-03,2025-10-03
41343,68,Ontario Securities Commission,Ontario,2024-10-07,https://www.osc.ca/en/investors/warnings/trimamex-aka-trimamex-capital-limited,Trimamex aka Trimamex Capital Limited,,,trimamex.com,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,Trimamex aka Trimamex Capital Limited found at trimamex.com is not registered in Ontario to engage in the business of trading in securities.,2025-09-30,2025-09-30
41342,68,Ontario Securities Commission,Ontario,2024-04-24,"https://www.osc.ca/en/investors/warnings/solutionfx#:~:text=Investor%20warnings%20caution%20the%20public,pose%20a%20risk%20to%20investors.&text=SolutionFX%2C%20found%20at%20www.solution,business%20of%20trading%20in%20securities.",SolutionFX,,,www.solution-fx.com,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,"SolutionFX, found at www.solution-fx.com, is not registered in Ontario to engage in the business of trading in securities.",2025-09-30,2025-09-30
41341,68,Ontario Securities Commission,Ontario,2025-01-16,https://www.osc.ca/en/investors/warnings/premium-yields,Premium Yields,,,www.pytradingmarket.com,www.premiumyields.com,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,Premium Yields found at www.pytradingmarket.com and/or www.premiumyields.com is not registered in Ontario to engage in the business of trading in securities.,2025-09-30,2025-09-30
41340,68,Ontario Securities Commission,Ontario,2024-09-09,https://www.osc.ca/en/investors/warnings/allgram-holdings-llc,Allgram Holdings LLC,,,,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,Allgram Holdings LLC is not registered in Ontario to engage in the business of trading in securities.,2025-09-30,2025-09-30
41323,77,Autorite des marches financiers,Quebec,2025-09-26,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/antera-capital365,Antera Capital365,"Antera Capital, AC",,https://anteracapital365.net,,anteracapital365.net,,145.223.88.229,,support@anteracapital365.net,,1,Unregistered/Unlicensed entity offering financial products or services,"1,5,6","Stocks and bonds|Derivatives (options, futures, binary options, CFDs, forex, swaps, etc.)|Crypto and Digital Assets",,,,"Antera Capital365  is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.
Last know city : Montreal, Canada",2025-09-29,2025-09-29
41262,3,British Columbia Securities Commission,British Columbia,2025-09-22,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/windealagency,WinDealAgency (also known as WinDelAgence),,,https://windealagency.com,https://trading.windealagency.com|https://trading.windelagence.com|https://windelagence.com,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-09-25,2025-09-25
41261,3,British Columbia Securities Commission,British Columbia,2025-09-23,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/cargill-fse-ltd,Cargill FSE Ltd.,,,https://cargilfse.ltd,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-09-25,2025-09-25
41260,68,Ontario Securities Commission,Ontario,2025-09-23,https://www.osc.ca/en/investors/warnings/arctic-summit-capital,Arctic Summit Capital,,,http://arcticsummitcapital.com/,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,Arctic Summit Capital found at http://arcticsummitcapital.com/ is not registered in Ontario to engage in the business of trading in securities.,2025-09-23,2025-09-23
41259,68,Ontario Securities Commission,Ontario,2025-09-23,https://www.osc.ca/en/investors/warnings/bitstone-fx,Bitstone FX,,,http://bitstonefx.com/,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,Bitstone FX found at http://bitstonefx.com/ is not registered in Ontario to engage in the business of trading in securities.,2025-09-23,2025-09-23
41258,68,Ontario Securities Commission,Ontario,2025-09-23,https://www.osc.ca/en/investors/warnings/ids-group-limited-doing-business-ids-holdings,IDS Group Limited (dba IDS Holdings),,,https://www.idsholders.com/,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,IDS Group Limited (doing business as IDS Holdings) found at https://www.idsholders.com/ is not registered in Ontario to engage in the business of trading in securities.,2025-09-23,2025-09-23
41257,68,Ontario Securities Commission,Ontario,2025-09-23,https://www.osc.ca/en/investors/warnings/rcf-investments,RCF Investments,,,http://rcfinvestments.net/,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,RCF Investments found at http://rcfinvestments.net/ is not registered in Ontario to engage in the business of trading in securities.,2025-09-23,2025-09-23
41256,68,Ontario Securities Commission,Ontario,2025-09-23,https://www.osc.ca/en/investors/warnings/master-edge-trust,Master Edge Trust,,,http://www.masteredgetrust.net/,http://www.masteredgetrust.com/,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,Master Edge Trust found at http://www.masteredgetrust.net/ and http://www.masteredgetrust.com/ is not registered in Ontario to engage in the business of trading in securities.,2025-09-23,2025-09-23
41255,68,Ontario Securities Commission,Ontario,2025-09-23,https://www.osc.ca/en/investors/warnings/swqt-usexcom,swqt-usex.com,swqt-usex,,http://swqt-usex.com,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,swqt-usex.com found at http://swqt-usex.com is not registered in Ontario to engage in the business of trading in securities.,2025-09-23,2025-09-23
41254,68,Ontario Securities Commission,Ontario,2025-09-23,https://www.osc.ca/en/investors/warnings/hgtradingaca,HGTRADINGACA,,,http://hgtradingaca.com,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,HGTRADINGACA found at http://hgtradingaca.com is not registered in Ontario to engage in the business of trading in securities.,2025-09-23,2025-09-23
41253,68,Ontario Securities Commission,Ontario,2025-09-23,https://www.osc.ca/en/investors/warnings/megacap,Megacap,,,https://megacap.io,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,Megacap found at https://megacap.io is not registered in Ontario to engage in the business of trading in securities.,2025-09-23,2025-09-23
41252,68,Ontario Securities Commission,Ontario,2025-09-23,https://www.osc.ca/en/investors/warnings/infinity-ai-doing-business-holdingsnestnet,Infinity AI (doing business as holdingsnest.net),,,http://holdingsnest.net,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,Infinity AI (doing business as holdingsnest.net) found at http://holdingsnest.net is not registered in Ontario to engage in the business of trading in securities.,2025-09-23,2025-09-23
41251,68,Ontario Securities Commission,Ontario,2025-09-23,https://www.osc.ca/en/investors/warnings/lions-trade,Lions Trade,,,http://trade-lion.net,https://trade-lion.io,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,Lions Trade found at http://trade-lion.net and https://trade-lion.io is not registered in Ontario to engage in the business of trading in securities.,2025-09-23,2025-09-23
41167,77,Autorite des marches financiers,Quebec,2025-09-19,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/desalpes-llc,DesAlpes LLC,Grace des Alpes|La Communaute des Alpes,,https://gracedesalpes.ca,https://innitshop.com|https://www.desalpes.world,gracedesalpes.ca,,205.209.106.144,,,,1,Unregistered/Unlicensed entity offering financial products or services,7,Other,,,,DesAlpes LLC is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.,2025-09-19,2025-09-19
41127,77,Autorite des marches financiers,Quebec,2025-09-16,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/whiteroad,WhiteRoad,,Teachmade Ltd,https://whiteroad.io,,whiteroad.io,,104.21.85.23,,office@whiteroad.io,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,"WhiteRoad is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.
Last known adress : London, United Kingdom",2025-09-16,2025-09-16
41112,77,Autorite des marches financiers,Quebec,2025-09-15,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/solara-finance,Solara Finance,,Solara Finance Limited,https://solarafin.com,https://solara-fin.com|https://solara-finltd.net,"solarafin.com, solara-fin.com, solara-finltd.net",,104.21.4.223,,support@solara-fin.com,,1,Unregistered/Unlicensed entity offering financial products or services,"1,5,6","Stocks and bonds|Derivatives (options, futures, binary options, CFDs, forex, swaps, etc.)|Crypto and Digital Assets",,,,"Solara Finance is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.
Last known city: United Kingdom",2025-09-16,2025-09-16
41111,77,Autorite des marches financiers,Quebec,2025-09-15,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/northern-markets,Northern Markets,NorthernMarkets,,https://northmarkets.io,,northmarkets.io,,104.21.85.232,,support@northmarkets.email,,1,Unregistered/Unlicensed entity offering financial products or services,"5,6","Derivatives (options, futures, binary options, CFDs, forex, swaps, etc.)|Crypto and Digital Assets",,,,Northern Markets is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec,2025-09-16,2025-09-16
41110,77,Autorite des marches financiers,Quebec,2025-09-15,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/slabu,SLABU,Slabu Exchange,,https://web.slabu.com,https://m.slabu.com|https://slabu.com,"web.slabu.com, m.slabu.com, slabu.com",,104.21.63.118,,service@slabu.com,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,SLABU is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.,2025-09-16,2025-09-16
41109,77,Autorite des marches financiers,Quebec,2025-09-15,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/rineplex,Rineplex,,,https://rineplex.com,,rineplex.com,,193.149.185.95,,support@rineplex-mail.com,,1,Unregistered/Unlicensed entity offering financial products or services,"5,6","Derivatives (options, futures, binary options, CFDs, forex, swaps, etc.)|Crypto and Digital Assets",,,,"Rineplex is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.
Last known city :  London, United Kingdom",2025-09-16,2025-09-16
40866,3,British Columbia Securities Commission,British Columbia,2025-09-11,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/onefxclub,OneFxClub,,,https://onefxclub.info,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-09-12,2025-09-12
40807,3,British Columbia Securities Commission,British Columbia,2025-09-09,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/quilcapital,QuilCapital,,,https://quilcapital.com,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-09-10,2025-09-10
40806,3,British Columbia Securities Commission,British Columbia,2025-09-09,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/metaquora,MetaQuora,,,https://metaquora.net,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-09-10,2025-09-10
40778,68,Ontario Securities Commission,Ontario,2025-09-08,https://www.osc.ca/en/investors/warnings/x-clarity,X-Clarity,,,www.xclarity.com,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,X-Clarity found at www.xclarity.com is not registered in Ontario to engage in the business of trading in securities.,2025-09-10,2025-09-10
40777,68,Ontario Securities Commission,Ontario,2025-09-08,https://www.osc.ca/en/investors/warnings/profits-adventure,Profits Adventure,,,https://profitsadventure.cc/,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,Profits Adventure found at https://profitsadventure.cc/ is not registered in Ontario to engage in the business of trading in securities.,2025-09-10,2025-09-10
40776,68,Ontario Securities Commission,Ontario,2025-09-08,https://www.osc.ca/en/investors/warnings/altcointrades,Altcointrades,Altcointrades.com,,http://altcointrades.com/,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,Altcointrades found at http://altcointrades.com/ is not registered in Ontario to engage in the business of trading in securities.,2025-09-10,2025-09-10
40775,68,Ontario Securities Commission,Ontario,2025-09-08,https://www.osc.ca/en/investors/warnings/apex-solutions-ltd,Apex Solutions Ltd.,,,https://apex-solutionsltd.com/,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,Apex Solutions Ltd. found at https://apex-solutionsltd.com/ is not registered in Ontario to engage in the business of trading in securities.,2025-09-10,2025-09-10
40774,68,Ontario Securities Commission,Ontario,2025-09-08,https://www.osc.ca/en/investors/warnings/webcoindcx,WebCoinDCX,,,https://www.webcoindcx.com,https://www.webcoindcx.net,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,WebCoinDCX found at https://www.webcoindcx.com and https://www.webcoindcx.net is not registered in Ontario to engage in the business of trading in securities.,2025-09-10,2025-09-10
40759,77,Autorite des marches financiers,Quebec,2025-09-08,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/unchain-crypto,Unchain Crypto,,,https://unchaincrypto.com,,unchaincrypto.com,,3.33.130.190,,unchaincrypto@gmail.com,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,Unchain Crypto is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.,2025-09-08,2025-09-08
40738,77,Autorite des marches financiers,Quebec,2025-09-05,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/pravenoliqua,Pravenoliqua,,Pravenoliqua,https://pravenoliqua.com,,pravenoliqua.com,,104.21.16.1,,info@pravenoliqua.com,,1,Unregistered/Unlicensed entity offering financial products or services,1,Stocks and bonds,,,,"Pravenoliqua is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.
Last known city: Montreal, Canada.",2025-09-08,2025-09-08
40737,77,Autorite des marches financiers,Quebec,2025-09-05,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/uniontrade,Uniontrade,,,https://uniontrade.io,,uniontrade.io,,104.21.88.189,,support@uniontrade.io,,1,Unregistered/Unlicensed entity offering financial products or services,"5,6","Derivatives (options, futures, binary options, CFDs, forex, swaps, etc.)|Crypto and Digital Assets",,,,"Uniontrade is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.
Last known city: Quebec, Canada.",2025-09-08,2025-09-08
40736,77,Autorite des marches financiers,Quebec,2025-09-05,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/robobroker,RoboBroker,,,https://robobrokerltd.com,,robobrokerltd.com,,104.21.22.115,,support@robobrokerltd.com,,1,Unregistered/Unlicensed entity offering financial products or services,"5,6","Derivatives (options, futures, binary options, CFDs, forex, swaps, etc.)|Crypto and Digital Assets",,,,"RoboBroker is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.
Last known city: Amsterdam, Netherlands.",2025-09-08,2025-09-08
40735,77,Autorite des marches financiers,Quebec,2025-09-05,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/immediate-growth,Immediate Growth,Croissance immediate,,https://immediate-growth.com,https://immediate-growth.io|https://immediate-growth.me|https://invest-quark.com,"immediate-growth.com, immediate-growth.me, immediate-growth.io, invest-quark.com",,104.21.63.38,,info@immediate-growth.me~ info@immediate-growth.io~ info@immediate-growth.com~,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,Immediate Growth (Croissance immediate) is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.,2025-09-08,2025-09-08
40730,77,Autorite des marches financiers,Quebec,2025-09-05,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/prodivia-group,ProDivia Group,,,https://prodiviagroup.com,https://area.prodiviagrouop.org/auth/registration,"prodiviagroup.com, area.prodiviagrouop.org/auth/registration",,104.21.81.16,,support@prodiviagroup.com,,1,Unregistered/Unlicensed entity offering financial products or services,"1,5,6","Stocks and bonds|Derivatives (options, futures, binary options, CFDs, forex, swaps, etc.)|Crypto and Digital Assets",,,,"ProDivia Group is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.
Last known city: London, United Kingdom.",2025-09-08,2025-09-08
40685,3,British Columbia Securities Commission,British Columbia,2025-09-03,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/geneveinvestcap,GeneveInvestCap,,,geneveinvestingmarkets.com,webtrader.geneveinvestingmarkets.com,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-09-04,2025-09-04
40684,3,British Columbia Securities Commission,British Columbia,2025-09-03,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/siren-consultancy-limited,Siren Consultancy Limited,,,https://sirenconsultancy.ltd,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-09-04,2025-09-04
40659,3,British Columbia Securities Commission,British Columbia,2025-09-02,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/gordian-corporate,Gordian Corporate,,,https://gordiancorporate.com,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-09-03,2025-09-03
40658,3,British Columbia Securities Commission,British Columbia,2025-08-29,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/unocoinsnet,"https://unocoins.net (no relation to Unocoin, https://unocoin.com)",,,https://unocoins.net,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-09-03,2025-09-03
40536,77,Autorite des marches financiers,Quebec,2025-08-29,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/wisdomthree,WisdomThree,,Wisdom Three Ltd,https://wisdomthree.net,,wisdomthree.net,,104.21.79.20,,support@wisdomthree.net,,,,"5,6","Derivatives (options, futures, binary options, CFDs, forex, swaps, etc.)|Crypto and Digital Assets",,,,"WisdomThree is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.
Last known city : London, United Kingdom",2025-09-01,2025-09-01
40535,77,Autorite des marches financiers,Quebec,2025-08-29,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/power-trades-app,Power Trades App,,,https://power-tradesapp.com,,power-tradesapp.com,,91.236.116.238,,,,1,Unregistered/Unlicensed entity offering financial products or services,"1,5,6,7","Stocks and bonds|Derivatives (options, futures, binary options, CFDs, forex, swaps, etc.)|Crypto and Digital Assets|Other",,,,Power Trades App is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.,2025-09-01,2025-09-01
40534,77,Autorite des marches financiers,Quebec,2025-08-29,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/xtb-online-trading,XTB online trading,XTB|XTB plus|XTB Plus Trading|XTBonline,,https://xtbplus.com,https://xtbonline.com,"xtbplus.com, xtbonline.com",,104.21.52.34,,"support@xtbonline.com,support@xtbplus.com",,1,Unregistered/Unlicensed entity offering financial products or services,"1,5,6","Stocks and bonds|Derivatives (options, futures, binary options, CFDs, forex, swaps, etc.)|Crypto and Digital Assets",,,,"XTB online trading is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.
Last known city: London, Zurich, Amsterdam, Singapore",2025-09-01,2025-09-01
40532,77,Autorite des marches financiers,Quebec,2025-08-29,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/mhtxcoinco,m.htxcoin.co,,,https://m.htxcoin.co,,m.htxcoin.co,,103.205.59.125,,htxcoinco@gmail.com,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,m.htxcoin.co is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec,2025-09-01,2025-09-01
40530,77,Autorite des marches financiers,Quebec,2025-08-29,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/maverix-global,Maverix-Global,,,https: maverix-global.com,,maverix-global.com,,104.21.112.1,,support@maverix-global.com,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,"Maverix-Global is not registered with the Autorite des marches financiers (AMF) and is not authorized to solicit investors in Quebec.
Last known city: Zurich, Switzerland",2025-09-01,2025-09-01
40507,3,British Columbia Securities Commission,British Columbia,2025-08-27,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/hhlr-advisors,"HHLR Advisors (No relation to Ontario registered firm Hillhouse Investment, www.hillhouseinvestment.com/)",,,https://www.hhlradvisors.ca,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,,,,,,,2025-09-01,2025-09-01
40474,68,Ontario Securities Commission,Ontario,2025-08-27,https://www.osc.ca/en/investors/warnings/lbank-also-known-lbank-exchange-pt-lbk-teknology-indonesia-and-lbk-exchange-limited,LBank,LBank Exchange (PT LBK Teknology Indonesia)|LBK Exchange Limited,,www.lbank.com,,,,,,,,1,Unregistered/Unlicensed entity offering financial products or services,6,Crypto and Digital Assets,,,,"LBank, also known as LBank Exchange (PT LBK Teknology Indonesia) and LBK Exchange Limited found at www.lbank.com is not registered in Ontario to engage in the business of trading in securities.",2025-08-28,2025-08-28
